Format Version,1.22,Take Name,Take 2023-08-14 03.50.08 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,29 Dec 1969 18:31:34 +0200,Total Frames in Take,401,Total Exported Frames,401,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
204,1.700000,0.979483,-0.087869,0.042602,0.176285,2.268746,1.953695,2.983943
205,1.708333,0.980599,-0.091762,0.040962,0.168307,2.267642,1.948701,2.983924
206,1.716667,0.981406,-0.095236,0.039954,0.161792,2.266582,1.943701,2.983726
207,1.725000,0.981983,-0.098393,0.039447,0.156435,2.265555,1.938672,2.983353
208,1.733333,0.982429,-0.101367,0.039249,0.151715,2.264578,1.933585,2.982817
209,1.741667,0.982733,-0.104363,0.039426,0.147616,2.263641,1.928444,2.982085
210,1.750000,0.982806,-0.107583,0.040024,0.144624,2.262718,1.923268,2.981163
211,1.758333,0.982694,-0.110922,0.040709,0.142658,2.261853,1.918066,2.980089
212,1.766667,0.982434,-0.114346,0.041372,0.141554,2.261069,1.912841,2.978866
213,1.775000,0.982031,-0.118025,0.042280,0.141059,2.260347,1.907555,2.977517
214,1.783333,0.981581,-0.121745,0.043533,0.140649,2.259679,1.902194,2.976038
215,1.791667,0.981134,-0.125169,0.044790,0.140365,2.259087,1.896767,2.974427
216,1.800000,0.980733,-0.128061,0.046006,0.140165,2.258576,1.891268,2.972706
217,1.808333,0.980392,-0.130404,0.047273,0.139970,2.258146,1.885691,2.970896
218,1.816667,0.980106,-0.132182,0.048471,0.139896,2.257802,1.880056,2.968999
219,1.825000,0.979856,-0.133238,0.049413,0.140313,2.257556,1.874415,2.967010
220,1.833333,0.979597,-0.133485,0.050111,0.141635,2.257400,1.868821,2.964905
221,1.841667,0.979432,-0.132637,0.050931,0.143268,2.257322,1.863338,2.962626
222,1.850000,0.979232,-0.131281,0.052176,0.145426,2.257301,1.858008,2.960163
223,1.858333,0.978759,-0.130204,0.053994,0.148872,2.257322,1.852872,2.957530
224,1.866667,0.977922,-0.129689,0.056542,0.153791,2.257382,1.847964,2.954715
225,1.875000,0.976816,-0.129345,0.059756,0.159778,2.257508,1.843310,2.951681
226,1.883333,0.975487,-0.128964,0.063455,0.166636,2.257707,1.838933,2.948402
227,1.891667,0.973927,-0.128700,0.067470,0.174212,2.257977,1.834818,2.944861
