Format Version,1.22,Take Name,Take 2023-07-13 02.27.47 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time
,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate
,,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
88,0.733333,0.076349,-0.008249,0.048279,-0.995877,2.38877,1.140411,2.5717
89,0.741667,0.076573,-0.008171,0.04806,-0.995872,2.388712,1.14027,2.571709
90,0.75,0.076632,-0.007799,0.048153,-0.995865,2.388618,1.140078,2.571758
91,0.758333,0.076922,-0.007457,0.048269,-0.99584,2.388519,1.139875,2.57181
92,0.766667,0.077346,-0.007264,0.04846,-0.995799,2.388424,1.139658,2.571874
93,0.775,0.077912,-0.007087,0.048926,-0.995734,2.388317,1.139407,2.571941
94,0.783333,0.078488,-0.006983,0.049423,-0.995665,2.38822,1.139136,2.572
95,0.791667,0.078956,-0.006982,0.049996,-0.995599,2.388137,1.138843,2.572057
96,0.8,0.079415,-0.007035,0.050429,-0.99554,2.388058,1.138541,2.572128
97,0.808333,0.079629,-0.007023,0.050261,-0.995532,2.387989,1.138272,2.572223
98,0.816667,0.08003,-0.007088,0.050074,-0.995509,2.387915,1.137985,2.572328
99,0.825,0.080662,-0.007282,0.049924,-0.995464,2.387821,1.137677,2.572439
100,0.833333,0.08103,-0.00751,0.049716,-0.995443,2.387725,1.137346,2.57256
101,0.841667,0.08201,-0.007988,0.049156,-0.995386,2.387658,1.137057,2.572643
102,0.85,0.082362,-0.008156,0.048898,-0.995369,2.387553,1.136727,2.572761
103,0.858333,0.082425,-0.008228,0.048446,-0.995385,2.387462,1.13641,2.572858
104,0.866667,0.082715,-0.008287,0.048119,-0.995376,2.387384,1.136087,2.572949
105,0.875,0.08326,-0.008345,0.047875,-0.995342,2.387312,1.135771,2.573051
106,0.883333,0.08396,-0.008669,0.047574,-0.995295,2.387275,1.135477,2.573118
107,0.891667,0.084489,-0.00891,0.047239,-0.995264,2.387225,1.135182,2.573191
108,0.9,0.085488,-0.009301,0.046851,-0.995194,2.387169,1.134844,2.573276
109,0.908333,0.086366,-0.009566,0.046353,-0.995139,2.387099,1.134496,2.573363
110,0.916667,0.086989,-0.009862,0.045848,-0.995105,2.387028,1.134162,2.573436
111,0.925,0.087693,-0.010117,0.045084,-0.995075,2.386953,1.13385,2.573481
112,0.933333,0.088457,-0.010475,0.044308,-0.995039,2.386833,1.133528,2.573565
113,0.941667,0.088551,-0.010852,0.043287,-0.995072,2.386681,1.133213,2.573648
114,0.95,0.088441,-0.01116,0.042067,-0.99513,2.386528,1.132895,2.573679
115,0.958333,0.088248,-0.011409,0.041031,-0.995188,2.386362,1.132555,2.573715
116,0.966667,0.087987,-0.011721,0.039997,-0.995249,2.386178,1.132197,2.573787
117,0.975,0.088221,-0.011975,0.03909,-0.995262,2.385997,1.131832,2.573844
118,0.983333,0.088563,-0.011905,0.038638,-0.99525,2.3858,1.131463,2.573953
119,0.991667,0.089161,-0.012082,0.038144,-0.995213,2.385622,1.131143,2.574033
120,1,0.089745,-0.012321,0.037876,-0.995168,2.385438,1.13083,2.574096
121,1.008333,0.090031,-0.012296,0.03812,-0.995133,2.385214,1.1305,2.574172
122,1.016667,0.090545,-0.01234,0.038576,-0.995069,2.384968,1.1302,2.574232
123,1.025,0.091061,-0.012479,0.039176,-0.994996,2.384716,1.129933,2.5743
124,1.033333,0.091469,-0.012641,0.039702,-0.994936,2.384461,1.129712,2.574366
125,1.041667,0.091729,-0.012866,0.039866,-0.994903,2.384203,1.129529,2.574439
126,1.05,0.091945,-0.012992,0.040064,-0.994873,2.383942,1.129407,2.574498
127,1.058333,0.091837,-0.013166,0.039939,-0.994886,2.383681,1.129313,2.574552
128,1.066667,0.091709,-0.013216,0.039859,-0.9949,2.383422,1.129276,2.574582
129,1.075,0.091135,-0.013228,0.039632,-0.994962,2.383182,1.129302,2.574613
130,1.083333,0.090298,-0.013108,0.039454,-0.995047,2.382962,1.129362,2.574632
131,1.091667,0.089413,-0.012988,0.039379,-0.995131,2.382755,1.129446,2.574647
132,1.1,0.088546,-0.012913,0.039409,-0.995208,2.38256,1.129552,2.574658
133,1.108333,0.087733,-0.012917,0.039586,-0.995273,2.382375,1.129687,2.574679
134,1.116667,0.087067,-0.013296,0.039317,-0.995338,2.382214,1.129863,2.574682
135,1.125,0.086555,-0.013671,0.039057,-0.995387,2.38206,1.130038,2.574666
136,1.133333,0.08656,-0.013827,0.039378,-0.995372,2.381909,1.130196,2.574615
137,1.141667,0.086834,-0.014133,0.039561,-0.995337,2.381784,1.130405,2.574498
138,1.15,0.087029,-0.014385,0.039737,-0.995309,2.381655,1.130627,2.574351
139,1.158333,0.087059,-0.014557,0.039945,-0.995296,2.381518,1.130846,2.574202
140,1.166667,0.086976,-0.014721,0.040206,-0.99529,2.381374,1.13107,2.574046
141,1.175,0.086593,-0.014801,0.040424,-0.995313,2.38123,1.131312,2.573884
142,1.183333,0.086156,-0.014899,0.040291,-0.995355,2.381086,1.131551,2.573739
143,1.191667,0.08548,-0.014845,0.040248,-0.995416,2.380927,1.131783,2.573633
144,1.2,0.084584,-0.014825,0.040159,-0.995497,2.380772,1.13203,2.573563
145,1.208333,0.083675,-0.014962,0.040004,-0.995578,2.38061,1.132318,2.57351
146,1.216667,0.082423,-0.014918,0.0399,-0.995687,2.380443,1.132637,2.573461
147,1.225,0.08123,-0.014934,0.039825,-0.995788,2.380291,1.132977,2.57339
148,1.233333,0.080265,-0.014996,0.039908,-0.995861,2.380161,1.133343,2.573299
149,1.241667,0.079171,-0.014938,0.04032,-0.995933,2.38007,1.1337,2.573193
150,1.25,0.078123,-0.014881,0.040725,-0.996,2.380007,1.13406,2.573087
151,1.258333,0.077038,-0.014732,0.040995,-0.996076,2.37993,1.134382,2.573027
152,1.266667,0.076458,-0.014877,0.041067,-0.996116,2.379888,1.134736,2.572957
153,1.275,0.076521,-0.014896,0.041226,-0.996104,2.379893,1.135153,2.572861
154,1.283333,0.076626,-0.01493,0.041408,-0.996088,2.379907,1.135541,2.572759
155,1.291667,0.076629,-0.014911,0.041659,-0.996077,2.379939,1.135904,2.572687
156,1.3,0.076316,-0.014776,0.042001,-0.996089,2.37999,1.13623,2.572663
157,1.308333,0.076112,-0.014798,0.042224,-0.996095,2.380069,1.136542,2.572645
158,1.316667,0.075491,-0.014635,0.042446,-0.996135,2.380129,1.136814,2.572654
159,1.325,0.074733,-0.01439,0.042749,-0.996183,2.380178,1.137054,2.572679
160,1.333333,0.074115,-0.014226,0.043096,-0.996217,2.380227,1.137239,2.572723
161,1.341667,0.07352,-0.014107,0.043451,-0.996247,2.380269,1.137388,2.572786
162,1.35,0.073243,-0.014041,0.043744,-0.996255,2.380296,1.137489,2.572861
163,1.358333,0.073151,-0.0139,0.043765,-0.996263,2.380311,1.137564,2.572933
164,1.366667,0.073199,-0.013825,0.043844,-0.996257,2.380318,1.13759,2.573005
165,1.375,0.073229,-0.01398,0.043896,-0.996251,2.380299,1.137587,2.57309
166,1.383333,0.073415,-0.014066,0.043828,-0.996239,2.380268,1.137558,2.573167
167,1.391667,0.073657,-0.01431,0.043879,-0.996215,2.380222,1.137493,2.573247
168,1.4,0.073934,-0.014629,0.043994,-0.996185,2.380163,1.137398,2.573331
169,1.408333,0.074366,-0.014873,0.043995,-0.996149,2.380093,1.137293,2.57342
170,1.416667,0.074837,-0.015165,0.043844,-0.996116,2.380016,1.137171,2.573502
171,1.425,0.075528,-0.015507,0.043851,-0.996058,2.379925,1.137019,2.573581
172,1.433333,0.076043,-0.01581,0.043655,-0.996023,2.379824,1.136873,2.573658
173,1.441667,0.076429,-0.016101,0.043318,-0.996004,2.379712,1.136728,2.573741
174,1.45,0.076726,-0.016475,0.042861,-0.995994,2.379582,1.136574,2.573846
175,1.458333,0.07706,-0.01704,0.042298,-0.995983,2.379476,1.136444,2.57393
176,1.466667,0.077558,-0.017566,0.041978,-0.995949,2.379372,1.136308,2.574003
177,1.475,0.078231,-0.017795,0.042057,-0.995889,2.37927,1.136178,2.574075
178,1.483333,0.078718,-0.017864,0.042235,-0.995842,2.379172,1.136052,2.574157
179,1.491667,0.078875,-0.017842,0.042398,-0.995823,2.379078,1.135921,2.574255
180,1.5,0.079064,-0.017761,0.042581,-0.995801,2.379004,1.135822,2.574358
181,1.508333,0.079268,-0.017674,0.042729,-0.99578,2.378947,1.135743,2.574464
182,1.516667,0.079388,-0.017529,0.042993,-0.995762,2.378889,1.135674,2.574573
183,1.525,0.079611,-0.017365,0.043276,-0.995735,2.378837,1.135637,2.5747
184,1.533333,0.079838,-0.017218,0.043539,-0.995708,2.378787,1.135625,2.574832
185,1.541667,0.079805,-0.016937,0.043922,-0.995698,2.378714,1.135615,2.574979
186,1.55,0.07968,-0.016661,0.044284,-0.995697,2.378637,1.135624,2.575127
187,1.558333,0.079515,-0.016465,0.04454,-0.995702,2.378565,1.135658,2.575269
188,1.566667,0.079395,-0.016311,0.044693,-0.995707,2.378493,1.135722,2.575406
189,1.575,0.079292,-0.016187,0.044846,-0.995711,2.37842,1.135807,2.575539
190,1.583333,0.079269,-0.016047,0.044992,-0.995708,2.378365,1.135892,2.575656
191,1.591667,0.078951,-0.016026,0.045277,-0.995721,2.378316,1.135988,2.575769
192,1.6,0.078595,-0.016065,0.045655,-0.995731,2.378272,1.136094,2.575879
193,1.608333,0.078392,-0.01611,0.046032,-0.995729,2.378232,1.136201,2.575981
194,1.616667,0.078139,-0.016117,0.046208,-0.995741,2.378207,1.136322,2.576079
195,1.625,0.078044,-0.016111,0.046245,-0.995746,2.378187,1.136449,2.576166
196,1.633333,0.078154,-0.016089,0.046401,-0.995731,2.378167,1.136569,2.576239
197,1.641667,0.078364,-0.016074,0.046582,-0.995706,2.378156,1.136674,2.576303
198,1.65,0.078586,-0.016086,0.046705,-0.995683,2.378157,1.136763,2.57636
199,1.658333,0.078813,-0.016093,0.046796,-0.99566,2.378169,1.136842,2.576415
200,1.666667,0.079009,-0.016095,0.046875,-0.995641,2.378195,1.136912,2.576469
201,1.675,0.079162,-0.016106,0.046945,-0.995625,2.378235,1.136972,2.576522
202,1.683333,0.079332,-0.016116,0.047036,-0.995608,2.378288,1.137025,2.576575
203,1.691667,0.079533,-0.016127,0.047148,-0.995586,2.37835,1.137071,2.576626
204,1.7,0.079753,-0.016129,0.047271,-0.995563,2.378421,1.137104,2.576673
205,1.708333,0.079932,-0.01614,0.047475,-0.995538,2.3785,1.137114,2.576718
206,1.716667,0.080207,-0.016149,0.047607,-0.99551,2.378581,1.137118,2.576757
207,1.725,0.080582,-0.016158,0.047885,-0.995466,2.378654,1.137081,2.576782
208,1.733333,0.081085,-0.016166,0.048049,-0.995417,2.378724,1.137033,2.576801
209,1.741667,0.081547,-0.016165,0.048087,-0.995378,2.378795,1.136976,2.576824
210,1.75,0.082,-0.01614,0.04804,-0.995343,2.378867,1.136907,2.576851
211,1.758333,0.082578,-0.016089,0.047832,-0.995306,2.378936,1.136839,2.576878
212,1.766667,0.083221,-0.016024,0.047593,-0.995265,2.379006,1.13676,2.576908
213,1.775,0.083761,-0.015885,0.047509,-0.995226,2.379088,1.136655,2.576938
214,1.783333,0.084328,-0.015788,0.047528,-0.995179,2.37917,1.13653,2.576978
215,1.791667,0.085006,-0.015647,0.047563,-0.995122,2.379251,1.136401,2.577024
216,1.8,0.085734,-0.015482,0.047639,-0.995058,2.379332,1.13626,2.577074
217,1.808333,0.086348,-0.015352,0.047632,-0.995007,2.379419,1.1361,2.577137
218,1.816667,0.087305,-0.015187,0.047811,-0.994918,2.379485,1.135901,2.577225
219,1.825,0.08852,-0.015248,0.047947,-0.994803,2.379552,1.135695,2.577311
220,1.833333,0.089457,-0.01543,0.047737,-0.994726,2.379621,1.135508,2.577403
221,1.841667,0.090141,-0.015782,0.047336,-0.994678,2.379647,1.135295,2.577561
222,1.85,0.09073,-0.016176,0.046889,-0.99464,2.379636,1.135065,2.577757
223,1.858333,0.091341,-0.016459,0.046437,-0.9946,2.379601,1.134847,2.577957
224,1.866667,0.092012,-0.016569,0.046151,-0.99455,2.379553,1.134643,2.578149
225,1.875,0.09267,-0.016583,0.045918,-0.994499,2.379496,1.134441,2.578347
226,1.883333,0.093227,-0.016632,0.045809,-0.994452,2.379433,1.134225,2.578568
227,1.891667,0.093703,-0.016656,0.045709,-0.994411,2.379371,1.13399,2.578822
228,1.9,0.094034,-0.016409,0.04581,-0.994379,2.379282,1.13373,2.5791
229,1.908333,0.094278,-0.016097,0.045842,-0.99436,2.3792,1.133474,2.579366
