Format Version,1.22,Take Name,Take 2023-08-14 03.16.29 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,29 Dec 1969 17:57:55 +0200,Total Frames in Take,301,Total Exported Frames,301,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
85,0.708333,-0.223554,0.135445,0.030439,0.964755,2.084363,1.078847,2.837388
86,0.716667,-0.231257,0.137616,0.024741,0.962793,2.083652,1.084399,2.824444
87,0.725000,-0.237077,0.140064,0.019077,0.961152,2.082769,1.091427,2.810648
88,0.733333,-0.241253,0.143030,0.014249,0.959758,2.081606,1.100126,2.796095
89,0.741667,-0.243670,0.147880,0.011477,0.958449,2.080006,1.110758,2.780773
90,0.750000,-0.244552,0.154887,0.011421,0.957118,2.077964,1.123474,2.764816
91,0.758333,-0.243658,0.163833,0.013599,0.955827,2.075619,1.138422,2.748375
92,0.766667,-0.241085,0.173778,0.016926,0.954669,2.073104,1.155713,2.731653
93,0.775000,-0.236632,0.183429,0.020057,0.953917,2.070607,1.175467,2.714808
94,0.783333,-0.230018,0.192666,0.022692,0.953655,2.068314,1.197787,2.698079
95,0.791667,-0.221178,0.200967,0.025131,0.953971,2.066377,1.222717,2.681761
96,0.800000,-0.209483,0.207910,0.027913,0.955045,2.064863,1.250242,2.666113
97,0.808333,-0.194667,0.212569,0.031951,0.957026,2.063862,1.280285,2.651439
98,0.816667,-0.175715,0.214891,0.038435,0.959932,2.063343,1.312723,2.638039
99,0.825000,-0.152430,0.215016,0.048059,0.963444,2.063236,1.347387,2.626222
100,0.833333,-0.125076,0.213072,0.060440,0.967111,2.063460,1.384000,2.616278
101,0.841667,-0.094222,0.209284,0.074756,0.970430,2.063931,1.422206,2.608443
102,0.850000,-0.060595,0.204030,0.090604,0.972878,2.064615,1.461590,2.602927
103,0.858333,-0.024519,0.197496,0.106777,0.974163,2.065457,1.501730,2.599930
104,0.866667,0.013524,0.189929,0.121749,0.974126,2.066453,1.542186,2.599598
105,0.875000,0.053088,0.181657,0.134319,0.972698,2.067611,1.582519,2.602003
106,0.883333,0.094314,0.172779,0.144067,0.969792,2.068867,1.622333,2.607158
107,0.891667,0.137614,0.163767,0.151967,0.964961,2.070179,1.661291,2.615035
108,0.900000,0.183006,0.154869,0.158256,0.957852,2.071481,1.699063,2.625593
109,0.908333,0.230142,0.146115,0.163247,0.948175,2.072735,1.735311,2.638725
110,0.916667,0.278562,0.137587,0.167747,0.935593,2.073896,1.769780,2.654241
111,0.925000,0.327655,0.129176,0.172594,0.919873,2.074925,1.802266,2.671949
112,0.933333,0.376999,0.120624,0.177919,0.900925,2.075801,1.832547,2.691638
113,0.941667,0.426737,0.111905,0.183793,0.878404,2.076471,1.860433,2.713088
114,0.950000,0.475555,0.102625,0.190189,0.852727,2.076936,1.885808,2.735968
115,0.958333,0.522587,0.092831,0.196612,0.824396,2.077218,1.908595,2.759974
116,0.966667,0.567830,0.082801,0.202414,0.793563,2.077347,1.928757,2.784825
117,0.975000,0.611020,0.072603,0.207035,0.760605,2.077331,1.946309,2.810210
118,0.983333,0.651561,0.062230,0.210506,0.726142,2.077177,1.961288,2.835807
119,0.991667,0.689266,0.052144,0.212940,0.690543,2.076907,1.973765,2.861318
120,1.000000,0.724118,0.042675,0.214331,0.654136,2.076587,1.983866,2.886483
121,1.008333,0.756079,0.033846,0.215002,0.617230,2.076230,1.991719,2.911060
122,1.016667,0.785336,0.025508,0.215347,0.579847,2.075778,1.997474,2.934838
123,1.025000,0.811600,0.016818,0.215991,0.542559,2.075181,2.001289,2.957687
124,1.033333,0.835559,0.007934,0.216793,0.504756,2.074428,2.003328,2.979399
125,1.041667,0.857436,-0.001880,0.217558,0.466335,2.073523,2.003727,2.999819
126,1.050000,0.877013,-0.013368,0.218000,0.427956,2.072476,2.002625,3.018861
127,1.058333,0.894421,-0.026398,0.217664,0.389789,2.071353,2.000204,3.036364
128,1.066667,0.909897,-0.040443,0.216116,0.351776,2.070176,1.996656,3.052229
129,1.075000,0.923282,-0.054791,0.212626,0.315180,2.068989,1.992253,3.066288
130,1.083333,0.934731,-0.068567,0.207129,0.280488,2.067909,1.987212,3.078520
131,1.091667,0.944281,-0.080893,0.200084,0.248506,2.066977,1.981745,3.088998
132,1.100000,0.951932,-0.091150,0.192156,0.220437,2.066175,1.976090,3.097737
133,1.108333,0.957928,-0.098980,0.184055,0.196726,2.065455,1.970388,3.104801
134,1.116667,0.962458,-0.104892,0.176354,0.177685,2.064765,1.964735,3.110251
135,1.125000,0.965594,-0.110123,0.169505,0.163610,2.064035,1.959186,3.114138
136,1.133333,0.967401,-0.116025,0.163979,0.154219,2.063202,1.953718,3.116517
137,1.141667,0.967952,-0.123341,0.160035,0.149146,2.062259,1.948298,3.117452
138,1.150000,0.967319,-0.132345,0.157561,0.148167,2.061245,1.942873,3.117051
139,1.158333,0.965638,-0.142758,0.156349,0.150727,2.060239,1.937361,3.115421
140,1.166667,0.963231,-0.153302,0.156184,0.155857,2.059326,1.931671,3.112656
141,1.175000,0.960433,-0.162442,0.156440,0.163425,2.058613,1.925732,3.108777
142,1.183333,0.957528,-0.169340,0.156232,0.173368,2.058208,1.919446,3.103836
143,1.191667,0.954531,-0.174019,0.155143,0.185791,2.058127,1.912689,3.097895
144,1.200000,0.951197,-0.177537,0.153488,0.200363,2.058273,1.905303,3.090946
145,1.208333,0.947301,-0.180715,0.151502,0.216817,2.058595,1.897147,3.083025
146,1.216667,0.942629,-0.183386,0.149458,0.235548,2.059087,1.888076,3.074240
147,1.225000,0.937026,-0.185232,0.148148,0.256366,2.059717,1.877913,3.064641
148,1.233333,0.930128,-0.186764,0.148020,0.279411,2.060441,1.866496,3.054246
149,1.241667,0.921673,-0.188185,0.148807,0.304895,2.061243,1.853665,3.043076
150,1.250000,0.911806,-0.188682,0.149863,0.332490,2.062142,1.839251,3.031112
151,1.258333,0.900822,-0.187776,0.150711,0.361310,2.063152,1.823036,3.018355
152,1.266667,0.888455,-0.185852,0.150796,0.391621,2.064263,1.804856,3.004880
153,1.275000,0.874219,-0.183104,0.149770,0.424009,2.065408,1.784640,2.990847
154,1.283333,0.858041,-0.179665,0.147918,0.457827,2.066510,1.762307,2.976482
155,1.291667,0.840114,-0.175387,0.145530,0.492207,2.067512,1.737829,2.962046
156,1.300000,0.820207,-0.170022,0.142956,0.527178,2.068373,1.711256,2.947721
157,1.308333,0.797782,-0.163564,0.140453,0.563083,2.069067,1.682619,2.933661
158,1.316667,0.772259,-0.155939,0.138695,0.600053,2.069577,1.651926,2.920023
159,1.325000,0.742839,-0.147322,0.138337,0.638239,2.069834,1.619252,2.906972
160,1.333333,0.709255,-0.137548,0.139949,0.677091,2.069754,1.584699,2.894768
161,1.341667,0.671181,-0.126607,0.144757,0.715914,2.069254,1.548312,2.883698
162,1.350000,0.628812,-0.114000,0.154008,0.753579,2.068242,1.510258,2.874078
163,1.358333,0.582523,-0.099135,0.168234,0.789010,2.066692,1.470835,2.866262
164,1.366667,0.533039,-0.080782,0.185677,0.821504,2.064672,1.430465,2.860513
165,1.375000,0.481352,-0.057989,0.203167,0.850683,2.062320,1.389655,2.856927
166,1.383333,0.427184,-0.032689,0.217288,0.877058,2.059760,1.348871,2.855398
