Format Version,1.22,Take Name,Take 2023-07-13 11.16.48 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,16 Jan 1970 07:01:01 +0200,Total Frames in Take,1355,Total Exported Frames,1355,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate
,,"11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
88,0.733333,0.014006,-0.068904,0.006730,-0.997502,1.685125,0.609306,0.598713
89,0.741667,0.013946,-0.068839,0.006738,-0.997508,1.685117,0.609299,0.598713
90,0.750000,0.013925,-0.068835,0.006780,-0.997508,1.685109,0.609291,0.598711
91,0.758333,0.013914,-0.068818,0.006829,-0.997509,1.685104,0.609289,0.598712
92,0.766667,0.013933,-0.068871,0.006865,-0.997505,1.685104,0.609287,0.598714
93,0.775000,0.013918,-0.068868,0.006846,-0.997505,1.685104,0.609288,0.598713
94,0.783333,0.013940,-0.068872,0.006859,-0.997505,1.685101,0.609289,0.598712
95,0.791667,0.013937,-0.068873,0.006883,-0.997504,1.685102,0.609290,0.598713
96,0.800000,0.013914,-0.068866,0.006909,-0.997505,1.685101,0.609290,0.598715
97,0.808333,0.013947,-0.068876,0.006871,-0.997504,1.685106,0.609290,0.598711
98,0.816667,0.014201,-0.068967,0.006564,-0.997496,1.685160,0.609331,0.598727
99,0.825000,0.014119,-0.068923,0.006623,-0.997500,1.685144,0.609322,0.598722
100,0.833333,0.014038,-0.068847,0.006710,-0.997506,1.685135,0.609310,0.598717
101,0.841667,0.014047,-0.068856,0.006767,-0.997505,1.685125,0.609300,0.598716
102,0.850000,0.014015,-0.068851,0.006819,-0.997505,1.685123,0.609296,0.598712
103,0.858333,0.013992,-0.068853,0.006836,-0.997505,1.685116,0.609295,0.598713
104,0.866667,0.013948,-0.068869,0.006813,-0.997505,1.685112,0.609293,0.598710
105,0.875000,0.013915,-0.068888,0.006810,-0.997504,1.685111,0.609294,0.598711
106,0.883333,0.013905,-0.068854,0.006851,-0.997506,1.685111,0.609290,0.598709
107,0.891667,0.013926,-0.068881,0.006885,-0.997504,1.685111,0.609288,0.598710
108,0.900000,0.013983,-0.068875,0.006909,-0.997503,1.685105,0.609285,0.598708
109,0.908333,0.014013,-0.068852,0.006881,-0.997505,1.685106,0.609286,0.598711
110,0.916667,0.014160,-0.068947,0.006875,-0.997496,1.685122,0.609298,0.598703
111,0.925000,0.014063,-0.068908,0.006860,-0.997500,1.685122,0.609298,0.598703
112,0.933333,0.014039,-0.068892,0.006876,-0.997502,1.685118,0.609293,0.598704
113,0.941667,0.014003,-0.068890,0.006904,-0.997502,1.685118,0.609293,0.598706
114,0.950000,0.014302,-0.068998,0.006579,-0.997493,1.685165,0.609328,0.598724
115,0.958333,0.014526,-0.069084,0.006345,-0.997485,1.685196,0.609354,0.598735
116,0.966667,0.014337,-0.069030,0.006470,-0.997491,1.685173,0.609338,0.598729
117,0.975000,0.014192,-0.068964,0.006623,-0.997496,1.685152,0.609322,0.598723
118,0.983333,0.014280,-0.068928,0.006995,-0.997495,1.685199,0.609343,0.598710
119,0.991667,0.014162,-0.068891,0.006958,-0.997499,1.685173,0.609327,0.598707
120,1.000000,0.014024,-0.068850,0.006916,-0.997505,1.685150,0.609314,0.598709
121,1.008333,0.013951,-0.068826,0.006904,-0.997507,1.685140,0.609306,0.598710
122,1.016667,0.014192,-0.068965,0.006622,-0.997496,1.685177,0.609335,0.598728
123,1.025000,0.014140,-0.068964,0.006668,-0.997497,1.685159,0.609322,0.598725
124,1.033333,0.014297,-0.068935,0.007080,-0.997494,1.685206,0.609342,0.598708
125,1.041667,0.014193,-0.068908,0.007057,-0.997497,1.685174,0.609328,0.598710
126,1.050000,0.014085,-0.068881,0.006971,-0.997501,1.685144,0.609312,0.598708
127,1.058333,0.014050,-0.068853,0.006934,-0.997504,1.685127,0.609308,0.598710
128,1.066667,0.014035,-0.068836,0.006916,-0.997505,1.685117,0.609299,0.598709
129,1.075000,0.014111,-0.068939,0.006790,-0.997498,1.685125,0.609308,0.598701
130,1.083333,0.014053,-0.068944,0.006762,-0.997499,1.685116,0.609296,0.598702
131,1.091667,0.014026,-0.068919,0.006795,-0.997501,1.685111,0.609291,0.598706
132,1.100000,0.014273,-0.069017,0.006547,-0.997492,1.685158,0.609326,0.598722
133,1.108333,0.014417,-0.068953,0.006964,-0.997491,1.685213,0.609352,0.598708
134,1.116667,0.014301,-0.068903,0.006954,-0.997497,1.685182,0.609335,0.598704
135,1.125000,0.014474,-0.069001,0.006662,-0.997489,1.685204,0.609352,0.598721
136,1.133333,0.014305,-0.068958,0.006695,-0.997495,1.685174,0.609333,0.598718
137,1.141667,0.014154,-0.068928,0.006765,-0.997498,1.685148,0.609317,0.598716
138,1.150000,0.014092,-0.068912,0.006800,-0.997500,1.685131,0.609306,0.598710
139,1.158333,0.014052,-0.068877,0.006844,-0.997503,1.685114,0.609296,0.598705
140,1.166667,0.013986,-0.068862,0.006875,-0.997505,1.685111,0.609295,0.598708
141,1.175000,0.013957,-0.068854,0.006867,-0.997505,1.685108,0.609288,0.598706
142,1.183333,0.013934,-0.068870,0.006865,-0.997505,1.685104,0.609285,0.598706
143,1.191667,0.013899,-0.068855,0.006856,-0.997506,1.685098,0.609284,0.598706
144,1.200000,0.013903,-0.068858,0.006883,-0.997506,1.685100,0.609284,0.598709
145,1.208333,0.013896,-0.068849,0.006833,-0.997507,1.685103,0.609282,0.598710
146,1.216667,0.013879,-0.068864,0.006822,-0.997506,1.685106,0.609288,0.598709
147,1.225000,0.013916,-0.068873,0.006832,-0.997505,1.685110,0.609291,0.598711
148,1.233333,0.013935,-0.068865,0.006833,-0.997505,1.685107,0.609289,0.598707
149,1.241667,0.013926,-0.068868,0.006810,-0.997505,1.685103,0.609286,0.598708
150,1.250000,0.014240,-0.069001,0.006576,-0.997493,1.685154,0.609321,0.598724
151,1.258333,0.014149,-0.068959,0.006639,-0.997497,1.685143,0.609314,0.598721
152,1.266667,0.014063,-0.068914,0.006697,-0.997501,1.685129,0.609306,0.598714
153,1.275000,0.014276,-0.069018,0.006479,-0.997492,1.685170,0.609336,0.598728
154,1.283333,0.014229,-0.068971,0.006538,-0.997496,1.685152,0.609320,0.598722
155,1.291667,0.014175,-0.068936,0.006647,-0.997498,1.685135,0.609308,0.598714
156,1.300000,0.014086,-0.068902,0.006739,-0.997501,1.685120,0.609303,0.598714
157,1.308333,0.014051,-0.068880,0.006779,-0.997503,1.685117,0.609295,0.598709
158,1.316667,0.014018,-0.068860,0.006805,-0.997505,1.685112,0.609288,0.598705
159,1.325000,0.013972,-0.068871,0.006847,-0.997504,1.685109,0.609288,0.598708
160,1.333333,0.013997,-0.068859,0.006872,-0.997505,1.685107,0.609288,0.598709
161,1.341667,0.013968,-0.068854,0.006858,-0.997505,1.685108,0.609289,0.598708
162,1.350000,0.013922,-0.068862,0.006852,-0.997506,1.685105,0.609288,0.598710
163,1.358333,0.013960,-0.068871,0.006881,-0.997504,1.685102,0.609285,0.598707
164,1.366667,0.013926,-0.068887,0.006872,-0.997504,1.685105,0.609283,0.598707
165,1.375000,0.013878,-0.068866,0.006853,-0.997506,1.685100,0.609280,0.598704
166,1.383333,0.014161,-0.068926,0.006557,-0.997500,1.685152,0.609319,0.598714
167,1.391667,0.014173,-0.068959,0.006615,-0.997497,1.685144,0.609314,0.598715
168,1.400000,0.014086,-0.068941,0.006665,-0.997499,1.685124,0.609303,0.598710
169,1.408333,0.014365,-0.069043,0.006464,-0.997489,1.685161,0.609331,0.598723
170,1.416667,0.014288,-0.068987,0.006558,-0.997494,1.685152,0.609320,0.598721
171,1.425000,0.014179,-0.068943,0.006654,-0.997498,1.685139,0.609312,0.598718
172,1.433333,0.014089,-0.068909,0.006723,-0.997501,1.685124,0.609304,0.598716
173,1.441667,0.014225,-0.068912,0.007081,-0.997496,1.685176,0.609336,0.598706
174,1.450000,0.014163,-0.068898,0.007078,-0.997498,1.685161,0.609326,0.598705
175,1.458333,0.014234,-0.068990,0.006997,-0.997491,1.685155,0.609324,0.598699
176,1.466667,0.014123,-0.068969,0.006957,-0.997495,1.685135,0.609313,0.598701
177,1.475000,0.014304,-0.069040,0.006632,-0.997489,1.685173,0.609341,0.598716
178,1.483333,0.014159,-0.069010,0.006656,-0.997493,1.685151,0.609328,0.598715
179,1.491667,0.014081,-0.068951,0.006721,-0.997498,1.685138,0.609315,0.598716
180,1.500000,0.014339,-0.068974,0.006529,-0.997494,1.685176,0.609341,0.598726
181,1.508333,0.014266,-0.068906,0.006562,-0.997500,1.685159,0.609326,0.598715
